xi_d,s_bar,sigma_rel,f_max_kHz,set,model,n_obs,det_F,sigma_min,cond2,crlb_xi_mm,crlb_s_pp,labels,pool_ms,mass_coupling
0.8,0.05,0.0003,20.0,freq_plus_splitting,pocket,6,45548760.555706576,30.701622486640453,7.160042949479638,0.6808233289837825,0.6809517438592929,eta_m1|eta_m2|eta_m3|dEta_m1|dEta_m2|dEta_m3,0|1|2|3|4,exact
0.8,0.05,0.001,20.0,default_m0_3,gaussian_radial,4,1206223790.7923524,85.7878624529851,4.719133370526629,0.24113527849659655,0.3480608802427251,m0n0|m1n0|m2n0|m3n0,0|1|2|3|4,exact
0.8,0.05,0.001,20.0,d_optimal_4,gaussian_radial,4,2575985959.622243,103.19613892563241,4.765899157316656,0.20487673517164082,0.20711070461108524,m0n0|m1n0|m3n0|m4n0,0|1|2|3|4,exact
0.8,0.05,0.001,20.0,all_measurable,gaussian_radial,5,3820932419.93153,118.96917975705955,4.3673273321176085,0.17728934425215345,0.20390760453549064,m0n0|m1n0|m2n0|m3n0|m4n0,0|1|2|3|4,exact
0.8,0.05,0.001,20.0,freq_only,pocket,3,65156.351307637575,7.93927061812953,4.049646988320462,2.5724072730829217,4.531274064978626,eta_m1|eta_m2|eta_m3,0|1|2|3|4,exact
0.8,0.05,0.001,20.0,freq_plus_splitting,pocket,6,368944.96050122404,9.210486745992137,7.160042949479636,2.2694110966126084,2.269839146197643,eta_m1|eta_m2|eta_m3|dEta_m1|dEta_m2|dEta_m3,0|1|2|3|4,exact
0.8,0.05,0.003,20.0,default_m0_3,gaussian_radial,4,14891651.738177171,28.59595415099503,4.71913337052663,0.7234058354897897,1.0441826407281753,m0n0|m1n0|m2n0|m3n0,0|1|2|3|4,exact
0.8,0.05,0.003,20.0,d_optimal_4,gaussian_radial,4,31802295.797805313,34.3987129752108,4.765899157316655,0.6146302055149224,0.6213321138332559,m0n0|m1n0|m3n0|m4n0,0|1|2|3|4,exact
0.8,0.05,0.003,20.0,all_measurable,gaussian_radial,5,47172005.18433982,39.65639325235318,4.3673273321176085,0.5318680327564604,0.611722813606472,m0n0|m1n0|m2n0|m3n0|m4n0,0|1|2|3|4,exact
0.8,0.05,0.003,20.0,freq_only,pocket,3,804.399398859722,2.646423539376511,4.049646988320459,7.717221819248768,13.593822194935882,eta_m1|eta_m2|eta_m3,0|1|2|3|4,exact
0.8,0.05,0.003,20.0,freq_plus_splitting,pocket,6,4554.876055570669,3.070162248664046,7.160042949479633,6.808233289837825,6.80951743859293,eta_m1|eta_m2|eta_m3|dEta_m1|dEta_m2|dEta_m3,0|1|2|3|4,exact
0.95,0.01,0.0001,20.0,default_m0_3,gaussian_radial,4,58132915488.60769,55.97726540266238,76.94629179387962,0.3778635454820917,0.05496956668214747,m0n0|m1n0|m2n0|m3n0,0|1|2|3|4,exact
