config,n_vane,vane_mode,vane_arc_cells,modulation_depth,wrap_deg,n_theta,n_r,n_dof,mode,rigid,f_Hz,c_rotation,h_index,h_index_raw,deg_protected,m_dominant,m_share,alias_orders,alias_share,psi_deg,purity
c4,4,discrete,1,0.962962962962963,60.0,108,18,37596,14,False,5275.120682405545,1.0,0,0.0,1,4,0.7121263720306378,0|4|8|12,0.9999999994335168,23.025980331188087,0.7121263720306378
c4,4,discrete,1,0.962962962962963,60.0,108,18,37596,15,False,6475.796763539741,0.9999999999999998,0,1.3415758552508148e-08,1,4,0.8882741699833584,0|4|8|12,0.9999999998819947,8.323533693180632,0.8882741699833584
c4,4,discrete,1,0.962962962962963,60.0,108,18,37596,16,False,7064.047149709816,9.540979117872445e-18,1,1.0,2,3,0.4909096593432125,1|3|5|7|9|11,0.9999999999356749,6.9655728966794275,0.4909096593432125
c4,4,discrete,1,0.962962962962963,60.0,108,18,37596,17,False,7064.047149720377,-3.903127820947816e-18,1,1.0,2,3,0.49090965935972886,1|3|5|7|9|11,0.9999999999580063,36.96557289650509,0.49090965935972886
c4,4,discrete,1,0.962962962962963,60.0,108,18,37596,18,False,7499.0513278516055,-1.0,2,2.0,1,2,0.7778468161891565,2|6|10,0.9999999998035,86.8645764005245,0.7778468161891565
c4,4,discrete,1,0.962962962962963,60.0,108,18,37596,19,False,9807.482645608929,1.0,0,0.0,1,4,0.6298430050388188,0|4|8|12,0.9999999996243646,21.025489353646915,0.6298430050388188
c4,4,discrete,1,0.962962962962963,60.0,108,18,37596,20,False,9820.941887365561,1.0,0,0.0,1,4,0.7345445252430078,0|4|8|12,0.9999999999775976,31.812965136289396,0.7345445252430078
c4,4,discrete,1,0.962962962962963,60.0,108,18,37596,21,False,10004.07981685078,-6.938893903907233e-18,1,1.0,2,3,0.33728245616586383,1|3|5|7|9|11,0.9999999998118747,13.772645895997034,0.33728245616586383
c4,4,discrete,1,0.962962962962963,60.0,108,18,37596,22,False,10004.079816864354,0.0,1,1.0,2,3,0.3372824562211127,1|3|5|7|9|11,0.9999999999787892,43.77264589521609,0.3372824562211127
c4,4,discrete,1,0.962962962962963,60.0,108,18,37596,23,False,10208.761737276236,2.2551405187698514e-17,1,1.0,2,5,0.5910259656682357,1|3|5|7|9|11,0.9999999999457848,31.64269049371715,0.5910259656682357
